address,building_code,city_name,developers_name,issue_code,issue_date,newest_name,open_date,property_type,rooms_url,sale_address
杭州市钱江新城之江路1300号,中天钱塘银座,杭州市,中天控股集团有限公司,杭售许字(2018)第000055号,2020-09-15,中天钱塘银座,2018-07-19,写字楼,http://www.tmsf.com/newhouse/presell_33_1164480332_1164441595.htm,杭州市江干区之江东路1300号
浙江省杭州市淳安县进贤大道与睦州大道交叉口,"18,73,72,71,31",杭州市,杭州千岛湖浙远房地产开发有限公司,淳售许字(2018)第36号,2018-07-18,悦湖湾花园,2018-07-18,住宅,http://www.tmsf.com/newhouse/presell_330190_1160481506_3067752.htm,千岛湖坪山工业园区秀湖路（啤酒小镇后方）
萧山区金城路与通惠中路交叉口向东约300米,,杭州市,杭州新城德佳房地产开发有限公司,萧售许字（2018）第00502号,2020-04-08,萧悦中御府,2018-07-18,住宅,http://www.tmsf.com/newhouse/presell_330181_420092914_25262733.htm,萧山区金城路与通惠中路交叉口向东约300米(城市展厅：加州阳光一楼星巴克旁)
桐庐县分水镇05省道与江滨路交叉口,"9,17,16,15,14,13,12,11,10",杭州市,桐庐华博房地产开发有限公司,桐售许字（2018）第00498号,2018-07-17,东门首府,2018-07-17,住宅,http://www.tmsf.com/newhouse/presell_330188_154733138_4609152.htm,桐庐县分水镇院士路139号
桐庐县分水镇05省道与江滨路交叉口,"18,26,25,24,23,22,21,20,19",杭州市,桐庐华博房地产开发有限公司,桐售许字（2018）第00497号,2018-07-17,东门首府,2018-07-17,住宅,http://www.tmsf.com/newhouse/presell_330188_154733138_4609120.htm,桐庐县分水镇院士路139号
建设一路与通惠路交叉口向东100米,14,杭州市,杭州新城美佳房地产开发有限公司,萧售许字（2018）第00501号,2020-06-23,璟隽名邸,2018-07-17,住宅、写字楼,http://www.tmsf.com/newhouse/presell_330181_518811987_25261871.htm,建设一路与经十二路交叉口
建设一路与通惠路交叉口向东100米,"13,8,12",杭州市,杭州新城美佳房地产开发有限公司,萧售许字（2018）第00500号,2020-06-23,璟隽名邸,2018-07-17,住宅、写字楼,http://www.tmsf.com/newhouse/presell_330181_518811987_25261572.htm,建设一路与经十二路交叉口
萧山区建设四路与政通路交叉口往北200米处（瓜沥镇政府旁）,"12,11",杭州市,杭州创华置业有限公司,萧售许字（2018）第00499号,2020-01-17,云麓东麟府,2018-07-17,住宅,http://www.tmsf.com/newhouse/presell_330181_506373104_25261502.htm,
富春街道金苑路77号,"5,3",杭州市,杭州景帆置业有限公司,富售许字(2018)第062号,2021-04-12,大家·金鼎府,2018-07-16,住宅,http://www.tmsf.com/newhouse/presell_330187_1162244273_3455068.htm,
富春街道永兴路259号,"2,1",杭州市,杭州富阳瑞宸房地产有限公司,富售许字(2018)第059号,2019-07-31,如画府,2018-07-16,住宅,http://www.tmsf.com/newhouse/presell_330187_379190143_3454642.htm,富春街道永兴路259号如画府19号
